DHB of residence,Ethnic group,Age group,Gender,First dose administered,Second dose administered,Population,First dose uptake per 1000 people,Second dose uptake per 1000 people,,Notes: 
Capital & Coast and Hutt Valley,European or Other,12-15,Unknown/Other,15,0,16,938,0,,
Capital & Coast and Hutt Valley,European or Other,16-19,Female,"5,226",893,"6,926",755,129,,
Capital & Coast and Hutt Valley,European or Other,16-19,Male,"4,875",709,"6,799",717,104,,
Capital & Coast and Hutt Valley,European or Other,16-19,Unknown/Other,35,9,22,"1,591",409,,
Capital & Coast and Hutt Valley,European or Other,20-24,Female,"8,090","2,245","11,129",727,202,,
Capital & Coast and Hutt Valley,European or Other,20-24,Male,"6,550","1,328","10,017",654,133,,
Capital & Coast and Hutt Valley,European or Other,20-24,Unknown/Other,29,5,27,"1,074",185,,
Capital & Coast and Hutt Valley,European or Other,25-29,Female,"8,621","2,760","12,016",717,230,,
Capital & Coast and Hutt Valley,European or Other,25-29,Male,"7,737","1,762","11,040",701,160,,
Capital & Coast and Hutt Valley,European or Other,25-29,Unknown/Other,41,9,29,"1,414",310,,
Capital & Coast and Hutt Valley,European or Other,30-34,Female,"8,192","2,493","11,076",740,225,,
Capital & Coast and Hutt Valley,European or Other,30-34,Male,"7,576","1,874","10,376",730,181,,
Capital & Coast and Hutt Valley,European or Other,30-34,Unknown/Other,34,8,24,"1,417",333,,
Capital & Coast and Hutt Valley,European or Other,35-39,Female,"7,790","2,423","10,341",753,234,,
Capital & Coast and Hutt Valley,European or Other,35-39,Male,"7,213","1,919","9,616",750,200,,
Capital & Coast and Hutt Valley,European or Other,35-39,Unknown/Other,20,6,7,"2,857",857,,
Capital & Coast and Hutt Valley,European or Other,40-44,Female,"8,504","2,786","10,284",827,271,,
Capital & Coast and Hutt Valley,European or Other,40-44,Male,"7,871","2,102","9,800",803,214,,
Capital & Coast and Hutt Valley,European or Other,40-44,Unknown/Other,11,0,6,"1,833",167,,
Capital & Coast and Hutt Valley,European or Other,45-49,Female,"9,443","3,417","11,695",807,292,,
Capital & Coast and Hutt Valley,European or Other,45-49,Male,"8,761","2,626","10,872",806,242,,
Capital & Coast and Hutt Valley,European or Other,50-54,Female,"10,081","4,341","11,201",900,388,,
Capital & Coast and Hutt Valley,European or Other,50-54,Male,"9,444","3,498","10,903",866,321,,
Capital & Coast and Hutt Valley,European or Other,55-59,Female,"9,679","5,642","10,896",888,518,,
Capital & Coast and Hutt Valley,European or Other,55-59,Male,"9,198","5,059","10,601",868,477,,
Capital & Coast and Hutt Valley,European or Other,60-64,Female,"8,717","5,961","9,344",933,638,,
Capital & Coast and Hutt Valley,European or Other,60-64,Male,"8,618","5,585","9,254",931,604,,
Capital & Coast and Hutt Valley,European or Other,65-69,Female,"7,266","5,769","7,700",944,749,,
Capital & Coast and Hutt Valley,European or Other,65-69,Male,"6,840","5,401","7,391",925,731,,
Capital & Coast and Hutt Valley,European or Other,70-74,Female,"6,648","5,609","7,235",919,775,,
Capital & Coast and Hutt Valley,European or Other,70-74,Male,"6,227","5,242","6,574",947,797,,
Capital & Coast and Hutt Valley,European or Other,75-79,Female,"5,109","4,387","5,418",943,810,,
Capital & Coast and Hutt Valley,European or Other,75-79,Male,"4,347","3,758","4,567",952,823,,
Capital & Coast and Hutt Valley,European or Other,80-84,Female,"3,856","3,391","3,933",980,862,,
Capital & Coast and Hutt Valley,European or Other,80-84,Male,"2,898","2,575","2,879","1,007",894,,
Capital & Coast and Hutt Valley,European or Other,85-89,Female,"2,390","2,075","2,545",939,815,,
Capital & Coast and Hutt Valley,European or Other,85-89,Male,"1,607","1,406","1,736",926,810,,
Capital & Coast and Hutt Valley,European or Other,90+,Female,"1,535","1,351","1,680",914,804,,
Capital & Coast and Hutt Valley,European or Other,90+,Male,852,750,835,"1,020",898,,
Capital & Coast and Hutt Valley,Maori,12-15,Female,"1,039",66,"2,069",502,32,,
Capital & Coast and Hutt Valley,Maori,12-15,Male,"1,086",62,"2,251",482,28,,
Capital & Coast and Hutt Valley,Maori,16-19,Female,"1,034",248,"2,092",494,119,,
Capital & Coast and Hutt Valley,Maori,16-19,Male,954,232,"2,113",451,110,,
Capital & Coast and Hutt Valley,Maori,20-24,Female,"1,585",495,"3,070",516,161,,
Capital & Coast and Hutt Valley,Maori,20-24,Male,"1,265",313,"2,796",452,112,,
Capital & Coast and Hutt Valley,Maori,25-29,Female,"1,387",469,"2,752",504,170,,
Capital & Coast and Hutt Valley,Maori,25-29,Male,"1,170",346,"2,563",456,135,,
Capital & Coast and Hutt Valley,Maori,30-34,Female,"1,132",406,"2,184",518,186,,
Capital & Coast and Hutt Valley,Maori,30-34,Male,"1,060",308,"2,162",490,142,,
Capital & Coast and Hutt Valley,Maori,35-39,Female,"1,042",368,"1,866",558,197,,
Capital & Coast and Hutt Valley,Maori,35-39,Male,832,272,"1,568",531,173,,
Capital & Coast and Hutt Valley,Maori,40-44,Female,"1,150",429,"1,800",639,238,,
Capital & Coast and Hutt Valley,Maori,40-44,Male,996,323,"1,607",620,201,,
Capital & Coast and Hutt Valley,Maori,45-49,Female,"1,364",619,"1,867",731,332,,
Capital & Coast and Hutt Valley,Maori,45-49,Male,"1,108",407,"1,672",663,243,,
Capital & Coast and Hutt Valley,Maori,50-54,Female,"1,351",675,"1,725",783,391,,
Capital & Coast and Hutt Valley,Maori,50-54,Male,"1,143",529,"1,510",757,350,,
Capital & Coast and Hutt Valley,Maori,55-59,Female,"1,242",970,"1,499",829,647,,
Capital & Coast and Hutt Valley,Maori,55-59,Male,"1,153",832,"1,387",831,600,,
Capital & Coast and Hutt Valley,Maori,60-64,Female,"1,068",879,"1,193",895,737,,
Capital & Coast and Hutt Valley,Maori,60-64,Male,914,748,988,925,757,,
Capital & Coast and Hutt Valley,Maori,65-69,Female,698,618,774,902,798,,
Capital & Coast and Hutt Valley,Maori,65-69,Male,609,523,712,855,735,,
Capital & Coast and Hutt Valley,Maori,70-74,Female,455,406,469,970,866,,
Capital & Coast and Hutt Valley,Maori,70-74,Male,426,391,413,"1,031",947,,
Capital & Coast and Hutt Valley,Maori,75-79,Female,267,234,303,881,772,,
Capital & Coast and Hutt Valley,Maori,75-79,Male,225,200,244,922,820,,
Capital & Coast and Hutt Valley,Maori,80-84,Female,160,144,171,936,842,,
Capital & Coast and Hutt Valley,Maori,80-84,Male,129,110,120,"1,075",917,,
Capital & Coast and Hutt Valley,Maori,85-89,Female,61,56,63,968,889,,
Capital & Coast and Hutt Valley,Maori,85-89,Male,34,33,34,"1,000",971,,
Capital & Coast and Hutt Valley,Maori,90+,Female,29,25,26,"1,115",962,,
Capital & Coast and Hutt Valley,Maori,90+,Male,8,7,9,889,778,,
Capital & Coast and Hutt Valley,Pacific Peoples,12-15,Female,701,56,"1,163",603,48,,
Capital & Coast and Hutt Valley,Pacific Peoples,12-15,Male,709,68,"1,198",592,57,,
Capital & Coast and Hutt Valley,Pacific Peoples,16-19,Female,759,227,"1,241",612,183,,
Capital & Coast and Hutt Valley,Pacific Peoples,16-19,Male,695,221,"1,226",567,180,,
Capital & Coast and Hutt Valley,Pacific Peoples,20-24,Female,946,354,"1,648",574,215,,
Capital & Coast and Hutt Valley,Pacific Peoples,20-24,Male,789,252,"1,568",503,161,,
Capital & Coast and Hutt Valley,Pacific Peoples,25-29,Female,829,351,"1,483",559,237,,
Capital & Coast and Hutt Valley,Pacific Peoples,25-29,Male,709,232,"1,447",490,160,,
Capital & Coast and Hutt Valley,Pacific Peoples,30-34,Female,796,339,"1,384",575,245,,
Capital & Coast and Hutt Valley,Pacific Peoples,30-34,Male,694,228,"1,306",531,175,,
Capital & Coast and Hutt Valley,Pacific Peoples,35-39,Female,778,331,"1,170",665,283,,
Capital & Coast and Hutt Valley,Pacific Peoples,35-39,Male,705,241,"1,162",607,207,,
Capital & Coast and Hutt Valley,Pacific Peoples,40-44,Female,839,418,"1,169",718,358,,
Capital & Coast and Hutt Valley,Pacific Peoples,40-44,Male,765,287,"1,135",674,253,,
Capital & Coast and Hutt Valley,Pacific Peoples,45-49,Female,917,503,"1,164",788,432,,
Capital & Coast and Hutt Valley,Pacific Peoples,45-49,Male,826,368,"1,105",748,333,,
Capital & Coast and Hutt Valley,Pacific Peoples,50-54,Female,882,534,"1,120",788,477,,
Capital & Coast and Hutt Valley,Pacific Peoples,50-54,Male,812,443,"1,033",786,429,,
Capital & Coast and Hutt Valley,Pacific Peoples,55-59,Female,805,627,940,856,667,,
Capital & Coast and Hutt Valley,Pacific Peoples,55-59,Male,753,566,878,858,645,,
Capital & Coast and Hutt Valley,Pacific Peoples,60-64,Female,687,572,785,875,729,,
Capital & Coast and Hutt Valley,Pacific Peoples,60-64,Male,594,485,655,907,740,,
Capital & Coast and Hutt Valley,Pacific Peoples,65-69,Female,505,457,591,854,773,,
Capital & Coast and Hutt Valley,Pacific Peoples,65-69,Male,516,456,577,894,790,,
Capital & Coast and Hutt Valley,Pacific Peoples,70-74,Female,433,386,472,917,818,,
Capital & Coast and Hutt Valley,Pacific Peoples,70-74,Male,378,340,417,906,815,,
Capital & Coast and Hutt Valley,Pacific Peoples,75-79,Female,278,236,302,921,781,,
Capital & Coast and Hutt Valley,Pacific Peoples,75-79,Male,217,189,268,810,705,,
Capital & Coast and Hutt Valley,Pacific Peoples,80-84,Female,142,130,180,789,722,,
Capital & Coast and Hutt Valley,Pacific Peoples,80-84,Male,111,100,106,"1,047",943,,
Capital & Coast and Hutt Valley,Pacific Peoples,85-89,Female,69,59,87,793,678,,
Capital & Coast and Hutt Valley,Pacific Peoples,85-89,Male,35,27,47,745,574,,
Capital & Coast and Hutt Valley,Pacific Peoples,90+,Female,19,16,25,760,640,,
Capital & Coast and Hutt Valley,Pacific Peoples,90+,Male,10,9,12,833,750,,
Capital & Coast and Hutt Valley,Unknown,12-15,Female,23,0,23,"1,000",0,,
Capital & Coast and Hutt Valley,Unknown,12-15,Male,23,0,17,"1,353",176,,
Capital & Coast and Hutt Valley,Unknown,16-19,Female,41,7,23,"1,783",304,,
Capital & Coast and Hutt Valley,Unknown,16-19,Male,29,11,24,"1,208",458,,
Capital & Coast and Hutt Valley,Unknown,20-24,Female,54,20,51,"1,059",392,,
Capital & Coast and Hutt Valley,Unknown,20-24,Male,45,9,35,"1,286",257,,
Capital & Coast and Hutt Valley,Unknown,25-29,Female,100,26,74,"1,351",351,,
Capital & Coast and Hutt Valley,Unknown,25-29,Male,141,34,94,"1,500",362,,
Capital & Coast and Hutt Valley,Unknown,30-34,Female,125,50,97,"1,289",515,,
Capital & Coast and Hutt Valley,Unknown,30-34,Male,175,57,95,"1,842",600,,
Capital & Coast and Hutt Valley,Unknown,35-39,Female,133,46,105,"1,267",438,,
Capital & Coast and Hutt Valley,Unknown,35-39,Male,179,46,156,"1,147",295,,
Capital & Coast and Hutt Valley,Unknown,40-44,Female,134,47,86,"1,558",547,,
Capital & Coast and Hutt Valley,Unknown,40-44,Male,212,53,145,"1,462",366,,
Capital & Coast and Hutt Valley,Unknown,45-49,Female,95,40,93,"1,022",430,,
Capital & Coast and Hutt Valley,Unknown,45-49,Male,213,68,158,"1,348",430,,
Capital & Coast and Hutt Valley,Unknown,50-54,Female,85,40,74,"1,149",541,,
Capital & Coast and Hutt Valley,Unknown,50-54,Male,217,74,183,"1,186",404,,
Capital & Coast and Hutt Valley,Unknown,55-59,Female,75,42,84,893,500,,
Capital & Coast and Hutt Valley,Unknown,55-59,Male,254,124,198,"1,283",626,,
Capital & Coast and Hutt Valley,Unknown,60-64,Female,76,45,91,835,495,,
Capital & Coast and Hutt Valley,Unknown,60-64,Male,257,154,213,"1,207",723,,
Capital & Coast and Hutt Valley,Unknown,65-69,Female,75,55,73,"1,027",753,,
Capital & Coast and Hutt Valley,Unknown,65-69,Male,150,114,147,"1,020",776,,
Capital & Coast and Hutt Valley,Unknown,70-74,Female,75,58,76,987,763,,
Capital & Coast and Hutt Valley,Unknown,70-74,Male,126,94,131,962,718,,
Capital & Coast and Hutt Valley,Unknown,75-79,Female,61,50,48,"1,271","1,042",,
Capital & Coast and Hutt Valley,Unknown,75-79,Male,81,68,79,"1,025",861,,
Capital & Coast and Hutt Valley,Unknown,80-84,Female,29,24,31,935,774,,
Capital & Coast and Hutt Valley,Unknown,80-84,Male,37,34,35,"1,057",971,,
Capital & Coast and Hutt Valley,Unknown,85-89,Female,15,15,15,"1,000","1,000",,
Capital & Coast and Hutt Valley,Unknown,85-89,Male,14,11,14,"1,000",786,,
Hawkes Bay,Asian,12-15,Female,163,22,213,765,103,,
Hawkes Bay,Asian,12-15,Male,163,22,203,803,108,,
Hawkes Bay,Asian,16-19,Female,138,27,146,945,185,,
Hawkes Bay,Asian,16-19,Male,136,25,174,782,144,,
Hawkes Bay,Asian,20-24,Female,176,76,181,972,420,,
Hawkes Bay,Asian,20-24,Male,169,36,199,849,181,,
Hawkes Bay,Asian,25-29,Female,397,196,447,888,438,,
Hawkes Bay,Asian,25-29,Male,494,179,446,"1,108",401,,
Hawkes Bay,Asian,25-29,Unknown/Other,29,7,5,"5,800","1,400",,
Hawkes Bay,Asian,30-34,Female,552,300,576,958,521,,
Hawkes Bay,Asian,30-34,Male,596,228,529,"1,127",431,,
Hawkes Bay,Asian,30-34,Unknown/Other,28,5,6,"4,667",833,,
Hawkes Bay,Asian,35-39,Female,375,167,397,945,421,,
Hawkes Bay,Asian,35-39,Male,491,198,403,"1,218",491,,
Hawkes Bay,Asian,40-44,Female,319,137,354,901,387,,
Hawkes Bay,Asian,40-44,Male,360,154,307,"1,173",502,,
Hawkes Bay,Asian,45-49,Female,250,108,271,923,399,,
Hawkes Bay,Asian,45-49,Male,246,85,211,"1,166",403,,
Hawkes Bay,Asian,50-54,Female,182,84,186,978,452,,
Hawkes Bay,Asian,50-54,Male,163,69,173,942,399,,
Hawkes Bay,Asian,55-59,Female,169,112,181,934,619,,
Hawkes Bay,Asian,55-59,Male,132,82,137,964,599,,
Hawkes Bay,Asian,60-64,Female,145,124,171,848,725,,
Hawkes Bay,Asian,60-64,Male,101,67,100,"1,010",670,,
Hawkes Bay,Asian,65-69,Female,114,95,130,877,731,,
Hawkes Bay,Asian,65-69,Male,69,59,74,932,797,,
Hawkes Bay,Asian,70-74,Female,80,66,78,"1,026",846,,
Hawkes Bay,Asian,70-74,Male,50,45,69,725,652,,
Hawkes Bay,Asian,75-79,Female,40,36,51,784,706,,
Hawkes Bay,Asian,75-79,Male,35,31,44,795,705,,
Hawkes Bay,Asian,80-84,Female,40,29,37,"1,081",784,,
Hawkes Bay,Asian,80-84,Male,23,20,26,885,769,,
Hawkes Bay,Asian,85-89,Female,15,12,16,938,750,,
Hawkes Bay,Asian,85-89,Male,17,15,20,850,750,,
Hawkes Bay,European or Other,12-15,Female,"1,687",117,"2,623",643,45,,
Hawkes Bay,European or Other,12-15,Male,"1,676",92,"2,646",633,35,,
Hawkes Bay,European or Other,16-19,Female,"1,476",289,"2,240",659,129,,
Hawkes Bay,European or Other,16-19,Male,"1,513",246,"2,394",632,103,,
Hawkes Bay,European or Other,20-24,Female,"1,404",450,"2,335",601,193,,
Hawkes Bay,European or Other,20-24,Male,"1,224",280,"2,597",471,108,,
Hawkes Bay,European or Other,25-29,Female,"1,588",571,"2,883",551,198,,
Hawkes Bay,European or Other,25-29,Male,"1,392",348,"2,705",515,129,,
Hawkes Bay,European or Other,25-29,Unknown/Other,5,0,8,625,250,,
Hawkes Bay,European or Other,30-34,Female,"1,874",576,"2,972",631,194,,
Hawkes Bay,European or Other,30-34,Male,"1,724",424,"2,765",624,153,,
Hawkes Bay,European or Other,35-39,Female,"2,010",626,"3,004",669,208,,
Hawkes Bay,European or Other,35-39,Male,"1,788",447,"2,739",653,163,,
Hawkes Bay,European or Other,40-44,Female,"2,396",851,"3,313",723,257,,
Hawkes Bay,European or Other,40-44,Male,"2,105",571,"2,987",705,191,,
Hawkes Bay,European or Other,45-49,Female,"3,043","1,243","4,128",737,301,,
Hawkes Bay,European or Other,45-49,Male,"2,661",836,"3,702",719,226,,
Hawkes Bay,European or Other,50-54,Female,"3,476","1,628","4,096",849,397,,
Hawkes Bay,European or Other,50-54,Male,"3,141","1,120","3,928",800,285,,
Hawkes Bay,European or Other,55-59,Female,"3,810","2,490","4,612",826,540,,
Hawkes Bay,European or Other,55-59,Male,"3,476","2,070","4,301",808,481,,
Hawkes Bay,European or Other,60-64,Female,"3,841","3,026","4,361",881,694,,
Hawkes Bay,European or Other,60-64,Male,"3,756","2,803","4,125",911,680,,
Hawkes Bay,European or Other,65-69,Female,"3,773","3,316","4,174",904,794,,
Hawkes Bay,European or Other,65-69,Male,"3,442","2,990","3,822",901,782,,
Hawkes Bay,European or Other,70-74,Female,"3,699","3,360","3,942",938,852,,
Hawkes Bay,European or Other,70-74,Male,"3,450","3,128","3,734",924,838,,
Hawkes Bay,European or Other,75-79,Female,"2,655","2,459","2,792",951,881,,
Hawkes Bay,European or Other,75-79,Male,"2,455","2,305","2,604",943,885,,
Hawkes Bay,European or Other,80-84,Female,"1,951","1,788","1,961",995,912,,
Hawkes Bay,European or Other,80-84,Male,"1,607","1,483","1,636",982,906,,
Hawkes Bay,European or Other,85-89,Female,"1,147","1,029","1,242",924,829,,
Hawkes Bay,European or Other,85-89,Male,837,764,871,961,877,,
Hawkes Bay,European or Other,90+,Female,714,655,791,903,828,,
Hawkes Bay,European or Other,90+,Male,401,365,437,918,835,,
Hawkes Bay,Maori,12-15,Female,747,58,"1,885",396,31,,
Hawkes Bay,Maori,12-15,Male,699,54,"1,828",382,30,,
Hawkes Bay,Maori,16-19,Female,646,163,"1,619",399,101,,
Hawkes Bay,Maori,16-19,Male,590,135,"1,567",377,86,,
Hawkes Bay,Maori,20-24,Female,558,210,"1,857",300,113,,
Hawkes Bay,Maori,20-24,Male,474,145,"1,755",270,83,,
Hawkes Bay,Maori,25-29,Female,556,219,"1,795",310,122,,
Hawkes Bay,Maori,25-29,Male,478,162,"1,624",294,100,,
Hawkes Bay,Maori,30-34,Female,619,248,"1,641",377,151,,
Hawkes Bay,Maori,30-34,Male,493,149,"1,348",366,111,,
Hawkes Bay,Maori,35-39,Female,618,254,"1,339",462,190,,
Hawkes Bay,Maori,35-39,Male,473,151,"1,108",427,136,,
Hawkes Bay,Maori,40-44,Female,689,308,"1,278",539,241,,
Hawkes Bay,Maori,40-44,Male,546,188,"1,064",513,177,,
Hawkes Bay,Maori,45-49,Female,848,414,"1,434",591,289,,
Hawkes Bay,Maori,45-49,Male,653,265,"1,193",547,222,,
Hawkes Bay,Maori,50-54,Female,867,487,"1,289",673,378,,
Hawkes Bay,Maori,50-54,Male,644,320,"1,005",641,318,,
Hawkes Bay,Maori,55-59,Female,906,606,"1,266",716,479,,
Hawkes Bay,Maori,55-59,Male,709,450,"1,050",675,429,,
Hawkes Bay,Maori,60-64,Female,846,671,"1,000",846,671,,
Hawkes Bay,Maori,60-64,Male,721,547,850,848,644,,
Hawkes Bay,Maori,65-69,Female,648,555,749,865,741,,
Hawkes Bay,Maori,65-69,Male,515,439,621,829,707,,
Hawkes Bay,Maori,70-74,Female,453,399,523,866,763,,
Hawkes Bay,Maori,70-74,Male,400,361,404,990,894,,
Hawkes Bay,Maori,75-79,Female,276,242,286,965,846,,
Hawkes Bay,Maori,75-79,Male,191,165,219,872,753,,
Hawkes Bay,Maori,80-84,Female,131,120,183,716,656,,
Hawkes Bay,Maori,80-84,Male,102,96,114,895,842,,
Hawkes Bay,Maori,85-89,Female,69,63,89,775,708,,
Hawkes Bay,Maori,85-89,Male,43,37,49,878,755,,
Hawkes Bay,Maori,90+,Female,19,17,17,"1,118","1,000",,
Hawkes Bay,Maori,90+,Male,6,7,9,667,778,,
Hawkes Bay,Pacific Peoples,12-15,Female,136,15,253,538,59,,
Hawkes Bay,Pacific Peoples,12-15,Male,126,10,245,514,41,,
Hawkes Bay,Pacific Peoples,16-19,Female,133,62,224,594,277,,
Hawkes Bay,Pacific Peoples,16-19,Male,149,55,240,621,229,,
Hawkes Bay,Pacific Peoples,20-24,Female,150,70,282,532,248,,
Hawkes Bay,Pacific Peoples,20-24,Male,312,194,338,923,574,,
Hawkes Bay,Pacific Peoples,25-29,Female,157,70,261,602,268,,
Hawkes Bay,Pacific Peoples,25-29,Male,400,299,311,"1,286",961,,
Hawkes Bay,Pacific Peoples,30-34,Female,145,73,239,607,305,,
Hawkes Bay,Pacific Peoples,30-34,Male,396,274,278,"1,424",986,,
Hawkes Bay,Pacific Peoples,35-39,Female,137,78,190,721,411,,
Hawkes Bay,Pacific Peoples,35-39,Male,319,217,257,"1,241",844,,
Hawkes Bay,Pacific Peoples,40-44,Female,136,79,167,814,473,,
Hawkes Bay,Pacific Peoples,40-44,Male,265,171,207,"1,280",826,,
Hawkes Bay,Pacific Peoples,45-49,Female,143,82,162,883,506,,
Hawkes Bay,Pacific Peoples,45-49,Male,197,127,190,"1,037",668,,
Hawkes Bay,Pacific Peoples,50-54,Female,122,81,174,701,466,,
Hawkes Bay,Pacific Peoples,50-54,Male,148,91,167,886,545,,
Hawkes Bay,Pacific Peoples,55-59,Female,116,79,124,935,637,,
Hawkes Bay,Pacific Peoples,55-59,Male,108,70,118,915,593,,
Hawkes Bay,Pacific Peoples,60-64,Female,93,74,99,939,747,,
Hawkes Bay,Pacific Peoples,60-64,Male,100,72,119,840,605,,
Hawkes Bay,Pacific Peoples,65-69,Female,73,60,78,936,769,,
Hawkes Bay,Pacific Peoples,65-69,Male,77,71,73,"1,055",973,,
Hawkes Bay,Pacific Peoples,70-74,Female,44,40,54,815,741,,
Hawkes Bay,Pacific Peoples,70-74,Male,44,42,58,759,724,,
Hawkes Bay,Pacific Peoples,75-79,Female,23,22,27,852,815,,
Hawkes Bay,Pacific Peoples,75-79,Male,19,12,24,792,500,,
Hawkes Bay,Pacific Peoples,80-84,Female,13,10,21,619,476,,
Hawkes Bay,Pacific Peoples,80-84,Male,13,12,12,"1,083","1,000",,
Hawkes Bay,Pacific Peoples,85-89,Female,9,9,14,643,643,,
Hawkes Bay,Pacific Peoples,85-89,Male,6,5,6,"1,000",833,,
Hawkes Bay,Unknown,12-15,Female,8,0,9,889,111,,
Hawkes Bay,Unknown,12-15,Male,9,0,5,"1,800",200,,
Hawkes Bay,Unknown,25-29,Female,36,18,8,"4,500","2,250",,
Hawkes Bay,Unknown,25-29,Male,24,8,15,"1,600",533,,
Hawkes Bay,Unknown,30-34,Female,30,14,11,"2,727","1,273",,
Hawkes Bay,Unknown,30-34,Male,42,22,17,"2,471","1,294",,
Hawkes Bay,Unknown,35-39,Female,24,12,13,"1,846",923,,
Hawkes Bay,Unknown,35-39,Male,36,13,19,"1,895",684,,
Hawkes Bay,Unknown,40-44,Female,22,5,5,"4,400","1,000",,
Hawkes Bay,Unknown,40-44,Male,42,13,29,"1,448",448,,
Hawkes Bay,Unknown,45-49,Female,11,6,8,"1,375",750,,
Hawkes Bay,Unknown,45-49,Male,52,11,35,"1,486",314,,
Hawkes Bay,Unknown,50-54,Female,13,6,10,"1,300",600,,
Hawkes Bay,Unknown,50-54,Male,48,18,28,"1,714",643,,
Hawkes Bay,Unknown,55-59,Female,15,11,18,833,611,,
Hawkes Bay,Unknown,55-59,Male,38,18,25,"1,520",720,,
Hawkes Bay,Unknown,60-64,Female,16,12,13,"1,231",923,,
Hawkes Bay,Unknown,60-64,Male,35,18,23,"1,522",783,,
Hawkes Bay,Unknown,65-69,Female,25,21,20,"1,250","1,050",,
Hawkes Bay,Unknown,65-69,Male,41,32,37,"1,108",865,,
Hawkes Bay,Unknown,70-74,Female,17,13,14,"1,214",929,,
Hawkes Bay,Unknown,70-74,Male,28,27,22,"1,273","1,227",,
Hawkes Bay,Unknown,75-79,Male,9,8,10,900,800,,
Lakes,Asian,12-15,Female,133,14,184,723,76,,
Lakes,Asian,12-15,Male,94,11,167,563,66,,
Lakes,Asian,16-19,Female,88,24,121,727,198,,
Lakes,Asian,16-19,Male,110,28,143,769,196,,
Lakes,Asian,20-24,Female,163,77,155,"1,052",497,,
Lakes,Asian,20-24,Male,240,95,207,"1,159",459,,
Lakes,Asian,25-29,Female,362,198,469,772,422,,
Lakes,Asian,25-29,Male,467,188,482,969,390,,
Lakes,Asian,30-34,Female,520,291,596,872,488,,
Lakes,Asian,30-34,Male,493,196,523,943,375,,
Lakes,Asian,35-39,Female,410,243,436,940,557,,
Lakes,Asian,35-39,Male,426,202,437,975,462,,
Lakes,Asian,40-44,Female,266,129,321,829,402,,
Lakes,Asian,40-44,Male,302,134,307,984,436,,
Lakes,Asian,45-49,Female,274,152,291,942,522,,
Lakes,Asian,45-49,Male,189,93,211,896,441,,
Lakes,Asian,50-54,Female,199,130,209,952,622,,
Lakes,Asian,50-54,Male,150,86,147,"1,020",585,,
Lakes,Asian,55-59,Female,177,135,207,855,652,,
Lakes,Asian,55-59,Male,113,82,110,"1,027",745,,
Lakes,Asian,60-64,Female,141,117,153,922,765,,
Lakes,Asian,60-64,Male,83,71,95,874,747,,
Lakes,Asian,65-69,Female,100,85,117,855,726,,
Lakes,Asian,65-69,Male,61,57,73,836,781,,
Lakes,Asian,70-74,Female,55,48,64,859,750,,
Lakes,Asian,70-74,Male,39,35,56,696,625,,
Lakes,Asian,75-79,Female,16,15,29,552,517,,
Lakes,Asian,75-79,Male,16,12,21,762,571,,
Lakes,Asian,80-84,Female,18,15,13,"1,385","1,154",,
Lakes,Asian,80-84,Male,14,12,23,609,522,,
Lakes,Asian,85-89,Female,5,5,6,833,833,,
Lakes,Asian,85-89,Male,8,7,9,889,778,,
Lakes,European or Other,12-15,Female,746,45,"1,379",541,33,,
Lakes,European or Other,12-15,Male,814,47,"1,491",546,32,,
Lakes,European or Other,16-19,Female,631,161,"1,221",517,132,,
Lakes,European or Other,16-19,Male,617,141,"1,306",472,108,,
Lakes,European or Other,20-24,Female,614,260,"1,373",447,189,,
Lakes,European or Other,20-24,Male,579,187,"1,464",395,128,,
Lakes,European or Other,25-29,Female,803,361,"1,700",472,212,,
Lakes,European or Other,25-29,Male,660,231,"1,572",420,147,,
Lakes,European or Other,30-34,Female,"1,009",406,"1,853",545,219,,
Lakes,European or Other,30-34,Male,825,274,"1,631",506,168,,
Lakes,European or Other,35-39,Female,"1,049",412,"1,686",622,244,,
Lakes,European or Other,35-39,Male,921,295,"1,581",583,187,,
Lakes,European or Other,40-44,Female,"1,317",603,"1,908",690,316,,
Lakes,European or Other,40-44,Male,"1,107",392,"1,693",654,232,,
Lakes,European or Other,45-49,Female,"1,482",720,"2,174",682,331,,
Lakes,European or Other,45-49,Male,"1,402",565,"2,133",657,265,,
Lakes,European or Other,50-54,Female,"1,764","1,015","2,257",782,450,,
Lakes,European or Other,50-54,Male,"1,659",791,"2,187",759,362,,
Lakes,European or Other,55-59,Female,"1,995","1,459","2,489",802,586,,
Lakes,European or Other,55-59,Male,"1,831","1,213","2,436",752,498,,
Lakes,European or Other,60-64,Female,"1,971","1,666","2,283",863,730,,
Lakes,European or Other,60-64,Male,"1,922","1,550","2,266",848,684,,
Lakes,European or Other,65-69,Female,"1,944","1,783","2,198",884,811,,
Lakes,European or Other,65-69,Male,"1,848","1,651","2,123",870,778,,
Lakes,European or Other,70-74,Female,"1,941","1,824","2,116",917,862,,
Lakes,European or Other,70-74,Male,"1,899","1,778","2,084",911,853,,
Lakes,European or Other,75-79,Female,"1,365","1,294","1,499",911,863,,
Lakes,European or Other,75-79,Male,"1,288","1,211","1,405",917,862,,
Lakes,European or Other,80-84,Female,917,853,959,956,889,,
Lakes,European or Other,80-84,Male,853,820,846,"1,008",969,,
Lakes,European or Other,85-89,Female,534,499,634,842,787,,
Lakes,European or Other,85-89,Male,408,377,449,909,840,,
Lakes,European or Other,90+,Female,346,328,386,896,850,,
